time, algae, rotifers
0.95,0.83,5.42
2.26,0.7,18.26
2.91,0.38,17.86
3.95,0.41,21.07
4.95,0.39,17.46
5.93,0.91,15.85
6.96,0.3,36.12
8.22,0.77,18.86
9.08,0.42,31.3
9.94,0.24,16.66
11.95,0.51,7.83
13,0.62,23.08
13.98,0.32,23.88
14.99,0.67,18.66
16.02,0.25,26.49
16.94,0.38,8.23
17.98,1.64,19.47
18.93,0.69,23.48
20,0.27,27.89
20.95,1.23,19.06
22.02,0.99,23.48
23.16,0.18,29.7
23.94,0.26,38.53
24.95,0.94,11.64
25.97,0.62,23.48
26.95,1.21,20.87
27.92,0.25,33.91
29.05,0.36,14.65
30.05,0.46,17.66
30.93,0.62,11.84
31.9,0.76,12.84
32.97,0.56,22.27
34,0.6,23.28
34.95,1.21,28.9
36.3,0.15,55.18
37.3,0.13,24.88
37.92,0.21,7.02
38.95,0.97,8.83
40,1.35,11.04
40.93,0.71,26.49
41.95,0.43,33.31
43.19,0.35,21.47
44.19,0.47,12.64
44.94,0.77,12.24
45.93,0.86,9.03
47.07,1.02,52.37
48,0.29,40.94
48.93,0.65,33.71
49.99,0.3,16.25
51.01,0.22,12.84
51.95,0.35,9.63
52.97,1.51,12.64
53.98,1.01,34.52
54.94,0.28,41.94
55.99,0.28,25.08
57.01,0.75,23.08
58.02,0.49,25.89
58.98,0.36,33.91
59.93,0.64,52.17
60.9,0.16,52.37
61.98,0.09,27.89
62.97,0.56,5.42
64.09,0.57,39.93
65.35,0.61,39.53
65.97,0.37,36.92
66.92,0.44,21.07
67.99,0.2,17.26
68.95,0.42,17.46
69.97,0.94,22.88
71.15,0.33,41.74
72.29,0.28,19.47
72.95,0.51,18.46
73.98,0.81,38.73
74.98,0.19,39.73
75.96,0.1,21.47
76.94,0.32,13.24
77.99,0.76,15.65
79.04,0.58,26.09
79.94,0.57,35.12
81.05,0.4,47.76
81.99,0.35,47.56
82.95,0.29,43.14
84.13,0.33,31.1
85.32,0.31,30.3
85.98,0.3,28.7
87.24,0.3,23.08
87.93,0.32,23.08
88.95,0.38,20.67
89.97,0.85,25.49
90.97,0.25,41.54
92.08,0.33,38.13
93.02,0.35,12.84
94.03,0.37,17.26
94.96,1,20.07
95.96,0.34,38.93
96.99,0.22,21.47
97.98,0.31,21.07
99.06,0.28,16.86
100.04,0.23,7.83
100.93,0.33,6.02
101.95,0.8,5.82
102.99,0.78,23.28
103.94,0.62,16.86
104.93,0.28,34.72
106.05,0.21,23.68
107.14,0.23,15.25
107.92,0.3,11.84
108.98,0.51,14.25
110,0.54,20.67
110.97,0.44,30.5
111.92,0.53,30.3
113.02,0.24,25.89
113.96,0.17,24.08
114.92,0.25,10.03
115.93,0.59,7.63
116.96,0.82,26.49
117.97,0.3,41.94
118.98,0.25,35.92
119.99,0.4,26.89
121.19,0.24,23.28
121.99,0.36,19.26
122.94,1.51,25.69
124.02,0.54,77.06
125.05,0.19,57.19
126.02,0.19,31.91
127.04,0.4,15.25
128.22,0.27,24.08
129.02,0.41,23.48
129.98,0.88,34.52
130.98,0.27,42.54
131.97,0.43,30.5
132.95,0.46,42.74
134.03,0.5,51.77
135.35,0.23,31.3
136.18,0.42,15.05
136.99,0.66,28.29
137.98,0.21,36.32
139,0.17,36.72
139.93,0.18,48.16
141.31,0.14,73.65
142.32,0.36,28.29
142.96,0.35,27.09
143.95,0.71,45.35
144.99,0.81,42.94
146.01,0.99,19.67
147.05,0.75,12.44
148.25,0.55,18.26
149.31,0.36,31.1
149.93,0.4,28.09
150.94,0.55,15.45
151.95,0.24,40.54
152.96,0.51,47.16
155.18,0.21,20.07
156.38,0.39,13.04
156.95,0.5,18.26
157.91,0.15,34.52
159,0.33,49.36
159.9,0.28,44.35
160.98,0.14,11.64
162,0.18,9.43
163.03,0.42,20.07
163.98,0.52,29.1
164.96,0.82,52.37
165.93,0.2,57.79
166.94,0.14,35.12
168.04,0.39,15.85
168.89,0.53,17.26
170.12,0.22,33.71
170.95,0.29,13.04
172.02,1.06,17.86
173.01,0.5,42.14
173.97,0.16,35.32
174.97,0.25,18.26
175.85,0.48,11.44
177.14,0.43,21.67
177.93,0.44,25.28
178.94,0.87,30.5
179.91,0.19,35.32
180.96,0.52,27.29
182,0.23,20.47
182.91,0.47,14.65
184.05,0.37,12.84
184.91,0.46,17.46
185.91,1.19,30.9
186.93,0.37,57.59
187.94,0.21,41.54
188.9,0.25,21.47
189.9,0.47,17.26
191.85,0.53,18.26
192.91,0.91,27.89
